	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:32:48 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"16384"   6566722  12524496  13643463  12384552  10298438  13417040  12941994  13562682  14640460  12660636  12020607  6561079  4936458 
"32768"   0  0  0  0  15296819  14141547  10307556  12925934  14346737  10141744  8012155  5386846  4174201 
"65536"   0  0  0  0  15416764  14432464  16404935  15305171  15716464  14054639  8543265  5080283  4437106 
"131072"   0  0  0  0  18463171  14526585  18051529  17160667  18285693  16740022  11158973  4784154  4325659 
"262144"   0  0  0  0  19812874  19521952  21536752  22069769  5471355  18965662  10108517  4862173  4023818 
"524288"   0  0  0  0  378250  479632  375109  558801  1289815  1845038  1612890  1097911  1737854 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   15972885  20962191  64000000  55857768  64000000 
"128"   14200794  20804356  31945770  31945770  45475583  31945770 
"256"   15164624  21134280  31762157  37275329  37275329  37275329  36024719 
"512"   14240069  21303197  28328790  32145217  30329249  21516644  14628067  34192498 
"1024"   10878686  20970936  26876184  30942298  19629138  26876184  31860428  26219889  31860428 
"2048"   12050878  19531203  26204348  29640323  30160683  22498183  30481763  26944106  32075249  33062918 
"4096"   12450933  19888580  22881911  23540333  29227122  26276719  28265396  24514454  17569819  26438471  27321427 
"8192"   12679779  17172951  18200887  19647544  19602708  26073448  23203407  26495671  20839167  20953542  16324422  10368664 
"16384"   11053824  14461760  15530507  15845643  15845643  15604566  15874927  15783772  17137857  14643580  13733442  8406252  4268872 
"32768"   0  0  0  0  19377233  13256320  11937920  12286906  18671726  14422010  11203222  6428747  4235823 
"65536"   0  0  0  0  17760635  17268580  19174221  17784767  18503062  16524263  13440275  5313826  4640401 
"131072"   0  0  0  0  19604165  18870030  19478443  17910385  19045226  18721588  15799031  5190939  4610815 
"262144"   0  0  0  0  19865496  21415106  21808867  22733713  14604113  20802097  14924253  5100466  4192084 
"524288"   0  0  0  0  659995  729014  787752  717455  1174606  1570077  1434381  1630355  1529321 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   9006179  15972885  30484297  30484297  64000000 
"128"   9795896  16365173  25804035  31945770  41924383  31945770 
"256"   9868433  16072608  23441229  28401588  31762157  37275329  31762157 
"512"   9814569  15930214  23391616  26908901  28707488  28707488  30329249  31671139 
"1024"   9743447  15743686  22161202  27744245  28480139  18291580  27744245  24998980  31860428 
"2048"   8866519  14713687  17501701  24416701  25656476  27726845  30160683  21325256  31487372  32075249 
"4096"   9729195  15219509  21669709  21346604  28034773  29078712  29078712  29276929  26276719  26602226  32003887 
"8192"   6569983  11683783  15513658  24528554  15306330  25607089  28237654  22198999  25361377  16193630  13695655  10891237 
"16384"   6262707  9102151  10270732  14320120  15384478  15874927  16910128  15295448  18204771  14486149  13172711  7857420  5173176 
