Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   9318832  20962191  20962191  34389688  55857768 
"128"   12842051  21643049  18637664  41924383  45475583  21643049 
"256"   7735574  19591792  28401588  36024719  32730347  32730347  31762157 
"512"   12797441  18385093  25624554  28328790  26908901  20490142  32145217  22183443 
"1024"   11903823  18291580  22748081  22276143  23240448  21388672  25594883  31166834  32098538 
"2048"   8120522  14613561  17940335  21325256  23807646  22736381  24626703  23291219  26284531  31032362 
"4096"   6430059  12832234  10606129  13126371  15749706  15939671  14636041  16443123  21697077  13658603  27278046 
"8192"   9342456  6064404  10849967  11412140  5542066  11299550  11569692  13323895  15231692  13130412  11412140  10278712 
"16384"   8991393  9694083  12282728  13733442  10170408  10290727  12660636  13538634  9636986  11353326  9340939  6021260  4709456 
"32768"   0  0  0  0  15156803  13636432  13625617  13631022  14773924  11362529  7332108  4762791  4394839 
"65536"   0  0  0  0  14221888  14087773  15420223  13096405  16290214  13591127  8531068  5122412  3464040 
"131072"   0  0  0  0  17142474  16808606  16553522  16698835  17852225  8285718  10861132  4871311  4185464 
"262144"   0  0  0  0  18793205  21958697  17930482  22432234  21729562  19117683  14242229  4569915  4250407 
"524288"   0  0  0  0  320368  283797  559585  615927  597439  1777765  1302559  1059623  1839709 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12902017  30484297  30484297  64000000  64000000 
"128"   14586625  21643049  25804035  31945770  41924383  41924383 
"256"   12228612  19591792  7791708  32730347  31762157  31762157  31762157 
